2022-11-15 06:38:07 startup archives unpack
2022-11-15 06:38:07 install readline-common:all <none> 8.1-1
2022-11-15 06:38:07 status half-installed readline-common:all 8.1-1
2022-11-15 06:38:07 status unpacked readline-common:all 8.1-1
2022-11-15 06:38:07 install libreadline8:amd64 <none> 8.1-1
2022-11-15 06:38:07 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:07 status half-installed libreadline8:amd64 8.1-1
2022-11-15 06:38:08 status unpacked libreadline8:amd64 8.1-1
2022-11-15 06:38:08 install libassuan0:amd64 <none> 2.5.3-7.1
2022-11-15 06:38:08 status half-installed libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:08 status unpacked libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:08 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 install libksba8:amd64 <none> 1.5.0-3+deb11u1
2022-11-15 06:38:08 status half-installed libksba8:amd64 1.5.0-3+deb11u1
2022-11-15 06:38:08 status unpacked libksba8:amd64 1.5.0-3+deb11u1
2022-11-15 06:38:08 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:08 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:08 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:08 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:08 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:08 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:08 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:08 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:08 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:08 install libnpth0:amd64 <none> 1.6-3
2022-11-15 06:38:08 status half-installed libnpth0:amd64 1.6-3
2022-11-15 06:38:08 status unpacked libnpth0:amd64 1.6-3
2022-11-15 06:38:08 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:08 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 install libsqlite3-0:amd64 <none> 3.34.1-3
2022-11-15 06:38:08 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-11-15 06:38:08 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-11-15 06:38:08 install gpg:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gpg:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-11-15 06:38:08 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:08 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:08 install pinentry-curses:amd64 <none> 1.1.0-4
2022-11-15 06:38:08 status half-installed pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:08 status unpacked pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:08 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:08 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:08 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 install gnupg:all <none> 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-installed gnupg:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 startup packages configure
2022-11-15 06:38:09 configure libksba8:amd64 1.5.0-3+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libksba8:amd64 1.5.0-3+deb11u1
2022-11-15 06:38:09 status half-configured libksba8:amd64 1.5.0-3+deb11u1
2022-11-15 06:38:09 status installed libksba8:amd64 1.5.0-3+deb11u1
2022-11-15 06:38:09 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-11-15 06:38:09 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-11-15 06:38:09 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-11-15 06:38:09 status installed libsqlite3-0:amd64 3.34.1-3
2022-11-15 06:38:09 configure libnpth0:amd64 1.6-3 <none>
2022-11-15 06:38:09 status unpacked libnpth0:amd64 1.6-3
2022-11-15 06:38:09 status half-configured libnpth0:amd64 1.6-3
2022-11-15 06:38:09 status installed libnpth0:amd64 1.6-3
2022-11-15 06:38:09 configure libassuan0:amd64 2.5.3-7.1 <none>
2022-11-15 06:38:09 status unpacked libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:09 status half-configured libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:09 status installed libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:09 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-11-15 06:38:09 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:09 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:09 status installed libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:09 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 configure readline-common:all 8.1-1 <none>
2022-11-15 06:38:09 status unpacked readline-common:all 8.1-1
2022-11-15 06:38:09 status half-configured readline-common:all 8.1-1
2022-11-15 06:38:09 status installed readline-common:all 8.1-1
2022-11-15 06:38:09 configure pinentry-curses:amd64 1.1.0-4 <none>
2022-11-15 06:38:09 status unpacked pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:09 status half-configured pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:09 status installed pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:09 configure libreadline8:amd64 8.1-1 <none>
2022-11-15 06:38:09 status unpacked libreadline8:amd64 8.1-1
2022-11-15 06:38:09 status half-configured libreadline8:amd64 8.1-1
2022-11-15 06:38:09 status installed libreadline8:amd64 8.1-1
2022-11-15 06:38:09 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:09 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:09 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:09 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
